,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Burgos,42.3394,-3.7079,13.23,82,0,1.03,ES,1627087415
1,Breznik,42.7414,22.8981,16.33,77,1,0.32,BG,1627087238
2,Sa Kaeo,13.75,102.3333,23.64,96,100,2.69,TH,1627087264
3,Citrus,34.115,-117.8917,38.8,44,1,2.24,US,1627087415
4,Milicz,51.5277,17.2714,16.59,58,91,1.34,PL,1627087415
5,Černilov,50.2627,15.9225,19.54,57,92,2.28,CZ,1627087416
6,Glauchau,50.8167,12.5333,18.58,84,0,0.51,DE,1627087416
7,Jerantut,3.936,102.3626,24.96,88,100,0.31,MY,1627087416
8,Nyakahanga,-1.6033,31.1414,17.13,53,64,1.81,TZ,1627087416
9,Łomża,53.1781,22.0593,13.24,88,7,1.27,PL,1627087161
10,Nikki,9.9401,3.2108,21.43,94,100,2.35,BJ,1627087417
11,Arroyohondo,10.2522,-75.0198,28.81,77,99,3.9,CO,1627087417
12,Malbago,11.1622,124.0256,29.65,69,100,6.59,PH,1627087417
13,Sukaraja,-7.4519,108.1944,24.4,89,81,1.64,ID,1627087418
14,Őrbottyán,47.6871,19.2824,17.77,59,10,0.79,HU,1627087418
15,Obercorn,49.5136,5.8961,18.78,70,99,1.79,LU,1627087418
16,Rizal,15.7118,121.1061,25.21,96,100,1.94,PH,1627087419
17,Coronon,6.8792,125.4489,29.96,66,34,1.83,PH,1627087419
18,Anadia,-9.6844,-36.3042,20.85,95,17,0.94,BR,1627087419
19,Kharakvasla,18.4333,73.7667,21.99,97,100,2.58,IN,1627087419
20,Rāmkola,26.9042,83.8411,27.8,84,39,5.27,IN,1627087420
21,Odintsovo,55.678,37.2777,16.01,77,0,4.0,RU,1627087420
22,Leones,-32.6617,-62.2968,18.04,51,98,1.02,AR,1627087420
23,Dotnuva,55.35,23.9,16.12,90,6,2.58,LT,1627087420
24,Kalamnūri,19.6667,77.3333,22.58,91,100,4.44,IN,1627087421
25,Maków Mazowiecki,52.8649,21.1005,18.88,78,61,1.45,PL,1627087421
26,Parker,32.7668,-97.8003,33.25,56,0,6.85,US,1627087421
27,Ukwā,21.9667,80.4667,22.69,99,100,1.94,IN,1627087422
28,Greenfield,42.9614,-88.0126,30.81,48,20,5.66,US,1627087343
29,Motru,44.8033,22.9719,18.74,58,46,1.47,RO,1627087422
30,Delvinë,39.9511,20.0978,23.41,54,0,2.37,AL,1627087422
31,Assinovskaya,43.24,45.18,20.25,95,100,2.23,RU,1627087422
32,Bollène,44.2848,4.753,24.93,50,0,2.57,FR,1627087423
33,Goito,45.2549,10.6721,24.76,78,100,1.79,IT,1627087423
34,Trudarmeyskiy,54.132,86.4098,17.07,94,100,1.9,RU,1627087423
35,Hibaiyo,10.2726,123.321,29.23,72,100,6.74,PH,1627087424
36,Tavarede,40.1708,-8.8457,17.04,95,36,2.6,PT,1627087424
37,Antakya,36.2066,36.1572,26.9,83,15,2.6,TR,1627087276
38,Luchingu,-10.9,39.3333,17.71,74,96,2.11,TZ,1627087424
39,Rusera,25.75,86.0333,27.54,85,100,8.25,IN,1627087424
40,Kwale,5.7063,6.4374,21.8,93,85,0.88,NG,1627087425
41,Wynyard,-41.0,145.7167,11.64,89,100,9.9,AU,1627087169
42,Esik,43.3552,77.4525,18.68,31,0,2.24,KZ,1627087425
43,Kopong,-24.4833,25.8833,2.13,38,0,0.0,BW,1627087425
44,Kato Scholari,40.4333,23.0333,25.7,57,40,1.34,GR,1627087426
45,Zomba,-15.386,35.3188,13.52,83,100,2.65,MW,1627087426
46,Chaykovskiy,56.7686,54.1148,13.23,78,23,2.08,RU,1627087426
47,Stratford,41.1845,-73.1332,24.99,62,51,2.25,US,1627087426
48,Songea,-10.6833,35.65,14.64,82,75,0.0,TZ,1627087427
49,Pangkalanbuun,-2.6833,111.6167,26.44,89,44,1.39,ID,1627087427
50,Santa Helena de Goiás,-17.8136,-50.5969,20.79,45,0,2.7,BR,1627087427
51,Kirovskiy,45.0917,133.5136,32.98,51,100,1.67,RU,1627087428
52,Verkhniachka,48.8285,30.0396,14.35,77,0,3.09,UA,1627087428
53,Barie,44.5725,-0.1104,18.6,94,4,2.35,FR,1627087428
54,Le Robert,14.6775,-60.9392,27.14,56,40,3.6,MQ,1627087428
55,Saint-Pierre-des-Corps,47.3833,0.7333,18.36,86,0,4.63,FR,1627087429
56,Mapulo,13.7317,121.1842,26.87,83,100,6.09,PH,1627087429
57,Dragomireşti,44.9167,25.3333,17.85,66,49,2.06,RO,1627087429
58,Mărăcineni,45.2,26.8,18.99,62,57,1.89,RO,1627087430
59,Warrenton,-28.114,24.8475,-0.59,33,0,3.19,ZA,1627087430
60,Blonay,46.4678,6.8962,21.52,78,44,2.1,CH,1627087430
61,Tampocon,9.85,123.1333,29.03,76,79,7.35,PH,1627087430
62,Barisāl,22.7019,90.3711,26.97,90,100,5.79,BD,1627087431
63,Lejamaní,14.3667,-87.7,29.35,84,53,2.63,HN,1627087431
64,Kannauj,27.0546,79.922,30.3,72,26,3.69,IN,1627087431
65,Orange Cove,36.6244,-119.3137,41.07,22,1,2.57,US,1627087431
66,Kaithal,29.8,76.3833,28.31,75,12,1.83,IN,1627087432
67,Salina,38.8403,-97.6114,34.41,36,1,6.69,US,1627087202
68,Dragoman,42.9189,22.9317,16.62,74,9,0.25,BG,1627087267
69,Kharagauli,42.0214,43.1977,18.2,96,98,0.67,GE,1627087432
70,Comapa,14.1167,-89.9167,26.4,79,43,2.84,GT,1627087432
71,Webuye,0.6075,34.7697,14.67,74,5,1.94,KE,1627087433
72,Aptos,36.9772,-121.8994,32.97,68,1,0.89,US,1627087433
73,Hope Mills,34.9704,-78.9453,28.63,69,1,2.06,US,1627087433
74,Balc,47.2833,22.5333,17.79,67,11,1.57,RO,1627087433
75,Maní,4.8172,-72.2886,23.17,88,21,2.33,CO,1627087434
76,Hoboken,40.744,-74.0324,25.53,58,1,0.89,US,1627087434
77,Utete,-7.986,38.758,19.95,82,2,1.27,TZ,1627087434
78,Staraya Akkermanovka,51.2467,58.2391,16.88,96,99,3.68,RU,1627087435
79,Taltal,-25.4,-70.4833,13.88,80,100,1.98,CL,1627087435
80,Leopoldov,48.4458,17.7646,16.56,70,0,1.58,SK,1627087435
81,Wick,58.4333,-3.0833,11.03,93,90,1.54,GB,1627087435
82,Casambalangan,18.3765,122.1274,29.22,73,100,5.74,PH,1627087436
83,Pagani,40.7515,14.6133,24.48,76,1,0.45,IT,1627087436
84,Ixtlahuacán del Río,20.8667,-103.25,25.92,80,94,1.26,MX,1627087436
85,Turţ,47.9833,23.2167,15.58,87,0,1.74,RO,1627087437
86,San Joaquin,37.9333,-121.3011,39.5,21,1,2.57,US,1627087437
87,Espita,21.0167,-88.3167,27.8,71,82,3.98,MX,1627087437
88,Nevinnomyssk,44.6267,41.9453,17.73,92,16,0.71,RU,1627087437
89,Chimichagua,9.2578,-73.8123,24.76,96,100,2.63,CO,1627087438
90,San Luis,-33.295,-66.3356,12.71,40,80,4.93,AR,1627087438
91,Desbiens,48.4178,-71.9495,22.26,64,17,1.9,CA,1627087438
92,Standerton,-26.9337,29.2415,0.9,65,0,2.37,ZA,1627087438
93,Romanovo,52.6182,81.2271,19.04,84,100,3.13,RU,1627087439
94,Nova Borova,50.693,28.6345,15.48,79,58,2.48,UA,1627087439
95,Oxford,51.7522,-1.256,16.93,83,40,1.34,GB,1627087439
96,Monte Aprazível,-20.7725,-49.7142,23.36,33,0,3.79,BR,1627087439
97,Itapuí,-22.2333,-48.7192,22.0,42,0,1.72,BR,1627087440
98,Villa Constitución,-33.2278,-60.3297,18.82,63,95,0.72,AR,1627087440
99,Jennings,38.7192,-90.2604,31.01,67,40,0.45,US,1627087440
100,Bern,46.9481,7.4474,17.32,75,35,1.25,CH,1627087094
101,Larkana,27.5551,68.2141,31.04,49,100,3.82,PK,1627087441
102,Sagara,34.6833,138.2,31.66,65,40,2.06,JP,1627087441
103,Reitz,-27.8014,28.4273,-2.14,52,0,3.68,ZA,1627087441
104,Bāneh,35.9975,45.8853,20.85,41,0,0.95,IR,1627087442
105,Chikitigarh,19.2,84.6167,27.4,80,100,1.94,IN,1627087442
106,Gaur,26.7667,85.2667,28.16,80,17,7.28,NP,1627087442
107,Kalugmanan,8.2778,124.8597,27.03,46,20,1.9,PH,1627087442
108,Livezile,47.1833,24.5667,14.91,82,100,1.59,RO,1627087443
109,Kamyzyak,46.11,48.0736,21.99,88,75,2.0,RU,1627087390
110,Cárdenas,23.0375,-81.2047,28.42,82,39,3.46,CU,1627087231
111,Kāmthi,21.2333,79.2,24.19,92,100,3.97,IN,1627087156
112,Sosnovka,56.255,51.2842,14.01,71,96,1.97,RU,1627087443
113,Sorokino,53.75,84.9167,18.93,91,100,1.92,RU,1627087443
114,Pirpirituba,-6.78,-35.4986,22.58,90,0,4.93,BR,1627087444
115,Santo Augusto,-27.8508,-53.7772,17.7,52,0,3.6,BR,1627087444
116,Rushden,52.2914,-0.5992,15.69,87,100,5.95,GB,1627087444
117,Yavatmal,20.4,78.1333,22.8,88,100,3.87,IN,1627087445
118,Zaymishche,52.7264,32.2334,16.28,78,91,2.74,RU,1627087445
119,Mürzzuschlag,47.6,15.6833,14.88,84,0,1.35,AT,1627087445
120,Covington,39.0837,-84.5086,27.43,71,1,1.54,US,1627087412
121,Majalengka,-6.8361,108.2278,24.34,76,28,1.9,ID,1627087446
122,Vieira de Leiria,39.8695,-8.9324,16.9,94,20,1.03,PT,1627087446
123,Rifu,38.3236,140.9744,27.95,74,71,2.81,JP,1627087446
124,Plaridel,14.8872,120.8572,26.62,85,100,7.07,PH,1627087446
125,Cabay,13.8783,121.3772,28.64,80,100,4.18,PH,1627087447
126,Portsoy,57.6814,-2.6896,14.27,91,98,0.45,GB,1627087447
127,Monrovia,6.3005,-10.7969,24.56,84,100,5.34,LR,1627087342
128,Hāflong,25.1833,93.0333,25.9,81,30,0.86,IN,1627087447
129,Calantac,17.9065,121.7263,27.61,78,100,5.01,PH,1627087448
130,Ahrensburg,53.6833,10.25,14.98,93,0,0.0,DE,1627087448
131,Memphis,35.1495,-90.049,29.28,92,75,0.0,US,1627087399
132,Paray-le-Monial,46.4546,4.1158,21.49,99,100,0.45,FR,1627087448
133,Obrnice,50.505,13.6954,19.72,87,11,1.37,CZ,1627087449
134,Torrance,33.8359,-118.3406,35.33,75,40,6.26,US,1627087393
135,Jagtiāl,18.8,78.9333,23.29,90,100,4.47,IN,1627087449
136,Russko-Vysotskoye,59.6996,29.944,14.41,76,91,1.93,RU,1627087449
137,Winterswijk,51.9725,6.7194,17.56,82,100,4.06,NL,1627087378
138,Novozavedennoye,44.2628,43.6381,19.61,91,34,3.1,RU,1627087450
139,Tonshayevo,57.736,47.0127,9.74,99,58,3.06,RU,1627087450
140,Acopiara,-6.0953,-39.4525,24.15,54,39,4.45,BR,1627087451
141,Bridgewater,44.3835,-64.5155,17.82,100,57,2.06,CA,1627087451
142,Hvizd,48.6852,24.5506,16.09,84,100,0.89,UA,1627087451
143,Yotoco,3.8605,-76.3836,25.08,90,100,0.69,CO,1627087451
144,Prozor,43.8222,17.6092,16.61,71,65,1.13,BA,1627087452
145,Piacenza,45.0468,9.6994,26.53,70,100,1.34,IT,1627087452
146,Argalastí,39.2333,23.2167,21.9,60,27,4.22,GR,1627087452
147,Mānikpur,25.0667,81.1167,28.56,79,22,4.69,IN,1627087453
148,Rensvik,63.1,7.8167,13.81,88,100,1.98,NO,1627087453
149,Jobner,26.9667,75.3833,27.68,85,7,3.08,IN,1627087453
150,Sertãozinho,-21.1378,-47.9903,21.06,44,0,2.35,BR,1627087453
151,Ivybridge,50.3904,-3.9191,18.38,87,100,9.04,GB,1627087454
152,Tarsus,36.9188,34.8784,26.93,84,18,1.91,TR,1627087454
153,Malatya Province,38.5,38.0,19.03,43,0,2.06,TR,1627087454
154,Lebanon,36.2081,-86.2911,31.03,65,1,3.09,US,1627087214
155,Surani,45.2,26.1667,17.86,85,5,2.33,RO,1627087454
156,Urk,52.6625,5.6014,17.21,83,51,4.65,NL,1627087340
157,Castle Douglas,54.9409,-3.9278,15.74,91,96,2.82,GB,1627087455
158,Teno,-34.8667,-71.1833,7.88,100,100,1.54,CL,1627087455
159,Septèmes-les-Vallons,43.4,5.3667,25.84,43,0,6.17,FR,1627087455
160,Sály,47.95,20.6667,17.45,62,24,0.48,HU,1627087456
161,Dabeiba,7.0017,-76.2672,23.48,99,100,0.54,CO,1627087456
162,Perai,5.3833,100.3833,28.86,91,20,0.51,MY,1627087456
163,Svojat,44.3947,18.7392,14.53,100,0,0.51,BA,1627087456
164,Maniakoi,40.5,21.25,18.44,58,1,1.43,GR,1627087457
165,Arys,42.4252,68.795,23.12,20,0,1.87,KZ,1627087457
166,Lubin,51.4009,16.2015,16.46,66,23,2.04,PL,1627087264
167,Kasamwa,-2.85,32.4333,20.94,45,76,4.84,TZ,1627087458
168,Le Grand-Quevilly,49.4008,1.0458,21.58,72,0,2.06,FR,1627087459
169,Frankenburg,48.0684,13.4907,17.58,79,5,0.89,AT,1627087459
170,Buliwao,16.4833,121.2333,23.97,97,100,1.36,PH,1627087459
171,Bālāghāt,21.8,80.1833,24.49,97,100,2.02,IN,1627087460
172,Forte dei Marmi,43.9648,10.1724,23.32,97,88,1.24,IT,1627087460
173,Susteren,51.0655,5.8519,18.23,84,69,2.06,NL,1627087460
174,San Policarpo,12.1791,125.5072,29.3,67,98,5.88,PH,1627087461
175,Lennik,50.8089,4.1631,18.62,81,99,1.34,BE,1627087461
176,Mortka,59.3322,66.0214,14.44,78,100,1.08,RU,1627087461
177,Gembloux,50.561,4.697,17.87,88,90,3.58,BE,1627087461
178,Maidstone,51.2667,0.5167,18.03,88,100,2.68,GB,1627087316
179,Pālamedu,10.1167,78.1167,27.36,70,100,1.86,IN,1627087462
180,Santa Elena,-2.2333,-80.85,20.91,83,99,5.7,EC,1627087462
181,Tugbong,11.0167,124.6,30.17,65,95,5.71,PH,1627087462
182,Soyaló,16.9,-92.9167,23.5,87,9,2.06,MX,1627087463
183,Kota Bharu,6.1333,102.2386,26.61,83,20,1.54,MY,1627087463
184,Şuţeşti,45.2167,27.4333,17.02,68,10,3.2,RO,1627087463
185,Gornet-Cricov,45.0833,26.2667,19.07,71,5,2.22,RO,1627087463
186,Osinovo,55.8809,48.881,16.25,90,16,3.03,RU,1627087464
187,Santa Marinella,42.0345,11.8536,24.75,73,0,1.97,IT,1627087464
188,Bagontapay,6.8589,124.9089,28.42,77,74,0.91,PH,1627087464
189,Joplin,37.0842,-94.5133,30.92,66,20,4.63,US,1627087464
190,Pacho,5.1328,-74.1598,19.76,90,90,2.31,CO,1627087465
191,Concepción,-36.827,-73.0498,8.89,100,74,1.54,CL,1627087465
192,Pathalgaon,22.5667,83.4667,23.31,98,100,3.51,IN,1627087465
193,Ponferrada,42.5466,-6.5962,14.9,78,1,1.34,ES,1627087465
194,Kodungallūr,10.2167,76.2167,24.0,91,100,2.42,IN,1627087466
195,Indio,33.7206,-116.2156,42.85,25,1,0.89,US,1627087466
196,Kolga,59.4867,25.6192,15.93,75,8,1.88,EE,1627087466
197,Pravdinsk,54.4429,21.0179,17.91,96,7,2.04,RU,1627087467
198,Temse,51.1345,4.2085,18.39,83,0,0.89,BE,1627087467
199,Rabat,33.9911,-6.8401,21.75,92,40,0.0,MA,1627087424
200,Miramar,25.9873,-80.2323,29.0,82,40,2.57,US,1627087467
201,Yantzaza,-3.8278,-78.7594,17.4,94,4,0.89,EC,1627087467
202,El Guantillo,14.6,-87.3,27.49,78,95,2.54,HN,1627087468
203,Mogapi,-22.323,27.8349,8.14,53,0,6.67,BW,1627087468
204,Chapaevsk,52.9813,49.7112,12.56,69,0,2.13,RU,1627087468
205,Segovia,41.1667,-4.0,18.71,55,11,1.95,ES,1627087468
206,Golborne,53.4769,-2.5965,17.3,76,100,1.79,GB,1627087469
207,Sayreville,40.4593,-74.361,25.42,63,10,0.45,US,1627087338
208,Stalida,35.2926,25.4329,25.51,77,0,6.88,GR,1627087469
209,Magnaga,7.1694,125.8931,29.99,64,22,1.99,PH,1627087469
210,Ambajogai,18.7333,76.3833,22.24,90,100,7.04,IN,1627087470
211,Doembang Nangbuat,14.8333,100.1,26.77,84,100,2.97,TH,1627087470
212,Vemalwāda,18.4667,78.8833,23.37,88,100,5.0,IN,1627087471
213,Mango,27.9797,-82.3065,31.59,83,75,0.0,US,1627087471
214,Port-au-Prince,18.5392,-72.335,29.79,70,40,3.09,HT,1627087191
215,Itaunja,27.0833,80.9167,28.99,76,70,4.66,IN,1627087472
216,Thornton,39.868,-104.9719,28.09,47,40,2.24,US,1627087269
217,Martino,38.5667,23.2167,23.03,47,0,1.11,GR,1627087472
218,Kingskettle,56.2622,-3.1169,14.84,93,75,0.89,GB,1627087472
219,Găiceana,46.3333,27.2167,15.26,77,0,3.01,RO,1627087473
220,Ixhuatlancillo,18.9,-97.15,17.23,86,0,2.26,MX,1627087473
221,Gros Islet,14.0667,-60.95,27.9,83,32,5.91,LC,1627087473
222,Krasnyy Yar,46.5331,48.3456,21.96,82,97,3.28,RU,1627087473
223,Amapala,13.2922,-87.6539,34.22,56,93,2.54,HN,1627087324
224,São Gonçalo do Sapucaí,-21.8922,-45.5953,14.85,58,0,2.13,BR,1627087474
225,Świdwin,53.7746,15.7767,17.2,88,0,2.55,PL,1627087474
226,Volkhov,59.9258,32.3382,11.55,83,55,2.05,RU,1627087474
227,Honghu,29.8206,113.4621,28.37,78,95,3.87,CN,1627087475
228,Yulin,22.6333,110.15,29.31,78,0,0.92,CN,1627087274
229,Voss,60.623,6.4229,16.97,83,24,0.33,NO,1627087475
230,Famões,38.788,-9.2103,18.55,81,0,4.12,PT,1627087475
231,Shubarshi,48.5872,57.1869,22.57,67,99,3.74,KZ,1627087278
232,Araguaçu,-12.9306,-49.8264,24.19,42,11,2.13,BR,1627087476
233,Kuytun,54.3419,101.5036,18.62,67,0,2.79,RU,1627087476
234,Tālīkota,16.4833,76.3167,22.56,88,100,8.31,IN,1627087476
235,Reisterstown,39.4696,-76.8294,24.71,68,0,1.52,US,1627087449
236,Diósjenő,47.9397,19.0432,17.38,65,25,1.2,HU,1627087476
237,Porto San Giorgio,43.1827,13.7934,24.51,69,51,1.67,IT,1627087477
238,La Unión,-5.4,-80.75,19.66,72,0,7.55,PE,1627087477
